ポケモン川柳,登場ポケモン,出典,登場作品,チェック
コフーライ しんかのひまで がまんのこ,コフーライ,オーキド博士のポケモンホロキャスター,XY028,
ビビヨンが びよんびよんと とんでいく,ビビヨン,オーキド博士のポケモンホロキャスター,XY029,
イワくって じめんほるほる イワークよ,イワーク,オーキド博士のポケモンホロキャスター,XY030,
ヨノワール れいかいよいとこ いちどはおいで,ヨノワール,オーキド博士のポケモンホロキャスター,XY031,
コイキング てんまではねろ しんかまで,コイキング,オーキド博士のポケモンホロキャスター,XY032,
ルカリオが はどうでバトル はーどうじゃ,ルカリオ,オーキド博士のポケモンホロキャスター,XY033,
メガシンカ きずなのつよさ みせてやれ,,オーキド博士のポケモンホロキャスター,XY034,True
カラマネロ わるいなかまに からまれろ,カラマネロ,オーキド博士のポケモンホロキャスター,XY035,True
サーナイト いのちわかけて まもりぬけ,サーナイト,オーキド博士のポケモンホロキャスター,XY036,
くだけちれ おんぱでバーン！ オンバーン,オンバーン,オーキド博士のポケモンホロキャスター,XY037,
あぶないよ アブソルかんじる わざわいを,アブソル,オーキド博士のポケモンホロキャスター,XY038,
アームガン ひゃっぱつひゃくちゅう ウデッポウ,ウデッポウ,オーキド博士のポケモンホロキャスター,XY039,
ニャスパーが スパッとはっしゃ サイコパワー,ニャスパー,オーキド博士のポケモンホロキャスター,XY040,
よんでいる オーロラひかる アマルスよ,アマルス,オーキド博士のポケモンホロキャスター,XY041,True
かくれんぼ うみのもくずに クズモーよ,クズモー,オーキド博士のポケモンホロキャスター,XY052,
つめたさや わがみこおるよ アマルルガ,アマルルガ,オーキド博士のポケモンホロキャスター,XY055,True
チゴラスや なんでもかじる つよいあご,チゴラス,オーキド博士のポケモンホロキャスター,XY056,
ペロリーム ぺろりなめたら あらあまい,ペロリーム,オーキド博士のポケモンホロキャスター,XY057,
かぜさそう きままにとぶよ フラベベよ,フラベベ,オーキド博士のポケモンホロキャスター,XY058,True
ひとっとび ビルをこえるぞ バシャーモだ,バシャーモ,オーキド博士のポケモンホロキャスター,XY059,True
ふりかえり おおぐちひらく クチートよ,クチート,オーキド博士のポケモンホロキャスター,XY060,
まうごとく たたかえルチャブル さいきょうだ,ルチャブル,オーキド博士のポケモンホロキャスター,XY061,
エアームド きれあじするどく つばさがうなる,エアームド,オーキド博士のポケモンホロキャスター,XY062,True
だれかしら であいがしらに ゲコガシラ,ゲコガシラ,オーキド博士のポケモンホロキャスター,XY063,
ウソハチの なみだにほろり もらいなき,ウソハチ,オーキド博士のポケモンホロキャスター,XY064,
しんじんと いっしょにゼニガメ つよくなれ,ゼニガメ,オーキド博士のポケモンホロキャスター,XY065,
ヒトカゲの ひわくちほどに ものをいい,ヒトカゲ,オーキド博士のポケモンホロキャスター,XY066,
ひをあびて のんびりおひるね フシギダネ,フシギダネ,オーキド博士のポケモンホロキャスター,XY067,True
うごくもり かならずどこかに オーロット,オーロット,オーキド博士のポケモンホロキャスター,XY068,
コジョフーが きあいのかけごえ コージョーフー,コジョフー,オーキド博士のポケモンホロキャスター,XY069,
うでじまん なんでもはこぶよ ゴーリキー,ゴーリキー,オーキド博士のポケモンホロキャスター,XY070,True
オスメスで いろがちがうよ ニャオニクス,ニャオニクス,オーキド博士のポケモンホロキャスター,XY071,
ボーマンダ ひをはくおとは ボーなんだ,ボーマンダ,オーキド博士のポケモンホロキャスター,XY072,
ルクシオが でんきでかたるよ ゆうじょうを,ルクシオ,オーキド博士のポケモンホロキャスター,XY073,True
らんらんらん うみのおさんぽ ラプラスと,ラプラス,オーキド博士のポケモンホロキャスター,XY074,True
むちゅーっと なんでもくちづけ ムチュールよ,ムチュール,オーキド博士のポケモンホロキャスター,XY075,
いざバトル カモン、カモネギ くきがぶき,カモネギ,オーキド博士のポケモンホロキャスター,XY076,True
さあバトル リングマリングで ゴングまつ,リングマ,オーキド博士のポケモンホロキャスター,XY077,
ゲットだぜ！ ピカチュウいっしょに ピッピカチュウ,ピカチュウ,オーキド博士のポケモンホロキャスター,XY078,True
マフォクシー まほうのほのおで みらいよむ,マフォクシー,オーキド博士のポケモンホロキャスター,XY079,True
ゲットだぜ そのガメノデス おれのです,ガメノデス,オーキド博士のポケモンホロキャスター,XY080,
きたえてる コンクリぐるぐる ローブシン,ローブシン,オーキド博士のポケモンホロキャスター,XY081,
メェークルが ひとをのせるよ どこまでも,メェークル,オーキド博士のポケモンホロキャスター,XY082,
あめのなか ちをはうヌメラ ぬめぬめと,ヌメラ,オーキド博士のポケモンホロキャスター,XY083,
カイリキー かいりきじまん うでじまん,カイリキー,オーキド博士のポケモンホロキャスター,XY084,
なりすませ バニラのアイス バニプッチ,バニプッチ,オーキド博士のポケモンホロキャスター,XY085,
ゴーゴート のやまをゆくよ GOGOと,ゴーゴート,オーキド博士のポケモンホロキャスター,XY086,
しずけさや ヌメイルぬめぬめ にじりより,ヌメイル,オーキド博士のポケモンホロキャスター,XY087,True
かがやくめ しんじつみぬく レントラー,レントラー,オーキド博士のポケモンホロキャスター,XY088,
テールナー こえだにほのおが ついてるなー,テールナー,オーキド博士のポケモンホロキャスター,XY089,
ライチュウの やるきはでんき しげきてき,ライチュウ,オーキド博士のポケモンホロキャスター,XY090,
わたぼうし とばせワタッコ せかいじゅう,ワタッコ,オーキド博士のポケモンホロキャスター,XY091,
くろしんじゅ おでこでひかる ブーピッグ,ブーピッグ,オーキド博士のポケモンホロキャスター,XY092,True
あけてくれ かぎをおくれよ クレッフィ,クレッフィ,オーキド博士のポケモンホロキャスター,XY093,True
ガルーラが メガシンカする おやこあい！,メガガルーラ,オーキド博士のポケモンホロキャスター,XY140,
ひまつぶし カメテテきょうも にらめっこ,カメテテ,オーキド博士のポケモンホロキャスター,XYS05,
そのカラダ メレシーまぶしー うつくしー,メレシー,オーキド博士のポケモンホロキャスター,XYS06,True
いしふたつ こころひとつで メガシンカ,,オーキドはかせ,LPLE,
